x-coordinate | Character | y-coordinate
93 | ░ | 5
2 | ░ | 5
8 | ░ | 0
39 | █ | 1
64 | ░ | 0
63 | █ | 1
84 | █ | 3
9 | █ | 4
55 | █ | 1
23 | █ | 4
91 | █ | 5
21 | █ | 5
79 | ░ | 1
65 | ░ | 1
52 | █ | 5
49 | ░ | 5
24 | ░ | 1
42 | ░ | 5
6 | █ | 3
24 | ░ | 2
0 | █ | 4
65 | █ | 3
74 | ░ | 5
36 | ░ | 6
22 | █ | 1
62 | ░ | 3
24 | ░ | 5
58 | █ | 5
35 | █ | 6
55 | ░ | 3
20 | █ | 0
88 | █ | 3
46 | █ | 6
8 | █ | 5
13 | █ | 1
76 | █ | 4
54 | █ | 1
2 | █ | 0
91 | █ | 4
34 | █ | 6
80 | █ | 0
12 | █ | 5
14 | ░ | 3
1 | █ | 2
67 | ░ | 5
93 | ░ | 1
48 | █ | 5
79 | █ | 0
13 | █ | 5
39 | █ | 5 
